County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Los Angeles,4/1/2020,3502,66,739,1332,335,220
San Bernardino,4/1/2020,245,5,95,196,39,52
Orange,4/1/2020,579,11,117,221,50,48
Riverside,4/1/2020,306,11,85,182,29,47
Sacramento,4/1/2020,299,8,53,138,20,33
San Diego,4/1/2020,851,11,168,340,71,32
Ventura,4/1/2020,154,5,22,96,5,23
Santa Clara,4/1/2020,805,33,160,85,77,15
Alameda,4/1/2020,287,8,52,76,27,15
Fresno,4/1/2020,75,0,19,101,5,13
Contra Costa,4/1/2020,267,3,31,42,12,12
San Joaquin,4/1/2020,132,8,25,35,16,11
San Mateo,4/1/2020,354,13,57,35,19,9
Kern,4/1/2020,53,0,15,45,7,9
San Francisco,4/1/2020,432,6,67,66,30,8
Santa Barbara,4/1/2020,103,0,23,23,15,6
Stanislaus,4/1/2020,29,0,25,39,10,6
San Luis Obispo,4/1/2020,69,0,8,10,5,6
Monterey,4/1/2020,47,2,13,16,4,4
Imperial,4/1/2020,25,0,4,15,3,4
Tulare,4/1/2020,43,1,4,12,3,4
Butte,4/1/2020,6,0,5,33,2,4
Yuba,4/1/2020,5,0,2,24,2,4
Nevada,4/1/2020,15,0,36,54,0,4
El Dorado,4/1/2020,14,0,14,8,1,3
Merced,4/1/2020,7,0,3,15,0,3
Humboldt,4/1/2020,19,0,1,9,0,3
Placer,4/1/2020,52,2,25,28,6,2
Solano,4/1/2020,57,0,14,18,5,2
Marin,4/1/2020,87,1,9,19,4,2
Santa Cruz,4/1/2020,44,1,2,12,2,2
Sonoma,4/1/2020,60,1,5,18,1,2
Kings,4/1/2020,3,0,2,6,1,2
Siskiyou,4/1/2020,3,0,0,5,0,2
Yolo,4/1/2020,22,1,3,3,1,1
Shasta,4/1/2020,5,1,1,4,0,1
Napa,4/1/2020,11,0,2,2,0,1
Colusa,4/1/2020,1,0,0,1,0,1
Tehama,4/1/2020,0,0,0,1,0,1
San Benito,4/1/2020,14,1,2,0,2,0
Madera,4/1/2020,17,1,1,3,1,0
Inyo,4/1/2020,8,0,7,89,0,0
Lassen,4/1/2020,0,0,0,7,0,0
Del Norte,4/1/2020,0,0,0,5,0,0
Amador,4/1/2020,1,0,0,3,0,0
Mendocino,4/1/2020,4,0,0,2,0,0
Lake,4/1/2020,0,0,0,2,0,0
Calaveras,4/1/2020,3,0,0,1,0,0
Mono,4/1/2020,12,1,0,0,0,0
Sutter,4/1/2020,9,1,0,0,0,0
Plumas,4/1/2020,1,0,0,0,0,0
Tuolumne,4/1/2020,1,0,0,0,0,0
Mariposa,4/1/2020,0,0,0,0,0,0
Trinity,4/1/2020,0,0,0,0,0,0
Unassigned,4/1/2020,50,1,,,,
Glenn,4/1/2020,2,0,,,,
Alpine,4/1/2020,1,0,,,,
Sierra,4/1/2020,0,0,,,,
Modoc,4/1/2020,,,0,1,0,0
Alameda,4/2/2020,345,10,57,76,29,17
Alpine,4/2/2020,1,0,,,,
Amador,4/2/2020,2,0,0,3,0,0
Butte,4/2/2020,7,0,4,26,2,2
Calaveras,4/2/2020,3,0,0,1,0,0
Colusa,4/2/2020,1,0,0,1,0,1
Contra Costa,4/2/2020,297,3,32,38,13,10
Del Norte,4/2/2020,0,0,0,3,0,0
El Dorado,4/2/2020,16,0,15,12,0,6
Fresno,4/2/2020,92,0,17,74,6,13
Glenn,4/2/2020,2,0,0,0,0,0
Humboldt,4/2/2020,23,0,1,8,0,2
Imperial,4/2/2020,24,0,4,16,3,5
Inyo,4/2/2020,8,0,8,102,0,1
Kern,4/2/2020,74,0,27,77,12,23
Kings,4/2/2020,3,0,2,6,1,1
Lake,4/2/2020,0,0,0,1,0,0
Lassen,4/2/2020,0,0,0,7,0,0
Los Angeles,4/2/2020,4040,79,818,1270,346,193
Madera,4/2/2020,25,1,1,7,1,3
Marin,4/2/2020,102,1,7,16,3,1
Mariposa,4/2/2020,0,0,0,1,0,0
Mendocino,4/2/2020,4,0,0,1,0,0
Merced,4/2/2020,9,0,4,5,0,1
Mono,4/2/2020,16,1,18,2,0,0
Monterey,4/2/2020,50,2,14,14,4,2
Napa,4/2/2020,13,0,1,4,1,1
Nevada,4/2/2020,17,0,38,58,2,1
Orange,4/2/2020,640,12,129,225,67,47
Placer,4/2/2020,72,2,32,15,9,0
Plumas,4/2/2020,1,0,0,0,0,0
Riverside,4/2/2020,438,13,136,181,45,49
Sacramento,4/2/2020,322,9,71,92,24,19
San Benito,4/2/2020,18,1,2,0,2,0
San Bernardino,4/2/2020,335,8,126,185,50,45
San Diego,4/2/2020,968,16,144,343,69,35
San Francisco,4/2/2020,473,6,75,60,32,11
San Joaquin,4/2/2020,148,9,42,42,20,7
San Luis Obispo,4/2/2020,79,0,5,5,4,4
San Mateo,4/2/2020,423,13,62,40,26,4
Santa Barbara,4/2/2020,125,1,26,44,18,10
Santa Clara,4/2/2020,908,38,163,101,69,19
Santa Cruz,4/2/2020,49,1,4,4,3,0
Shasta,4/2/2020,7,1,2,4,1,0
Sierra,4/2/2020,0,0,,,,
Siskiyou,4/2/2020,3,0,0,3,0,2
Solano,4/2/2020,65,0,15,8,7,1
Sonoma,4/2/2020,76,1,8,18,1,0
Stanislaus,4/2/2020,40,0,30,43,11,7
Sutter,4/2/2020,10,1,0,0,,
Tehama,4/2/2020,1,0,0,1,0,1
Trinity,4/2/2020,0,0,0,0,0,0
Tulare,4/2/2020,64,1,4,26,4,5
Tuolumne,4/2/2020,1,0,0,0,0,0
Unassigned,4/2/2020,49,1,,,,
Ventura,4/2/2020,178,5,27,111,7,24
Yolo,4/2/2020,29,1,3,2,2,3
Yuba,4/2/2020,5,0,2,25,2,6
Alameda,4/3/2020,395,11,64,74,32,13
Alpine,4/3/2020,1,0,,,,
Amador,4/3/2020,2,0,0,0,0,0
Butte,4/3/2020,8,0,3,19,2,6
Calaveras,4/3/2020,3,0,0,1,0,0
Colusa,4/3/2020,1,0,1,0,1,0
Contra Costa,4/3/2020,327,5,31,39,15,10
Del Norte,4/3/2020,1,0,0,2,0,0
El Dorado,4/3/2020,16,0,15,9,0,4
Fresno,4/3/2020,98,1,15,81,7,16
Glenn,4/3/2020,2,0,0,0,0,0
Humboldt,4/3/2020,34,0,1,7,0,0
Imperial,4/3/2020,35,0,9,7,7,0
Inyo,4/3/2020,10,0,8,102,1,2
Kern,4/3/2020,87,1,35,73,12,16
Kings,4/3/2020,3,0,0,3,1,0
Lake,4/3/2020,0,0,0,2,0,1
Lassen,4/3/2020,0,0,0,3,0,0
Los Angeles,4/3/2020,4566,91,962,1239,422,209
Madera,4/3/2020,28,2,0,5,0,1
Marin,4/3/2020,106,6,6,16,3,5
Mariposa,4/3/2020,0,0,0,2,0,0
Mendocino,4/3/2020,4,0,0,5,0,1
Merced,4/3/2020,9,0,4,5,1,1
Modoc,4/3/2020,0,0,0,0,0,0
Mono,4/3/2020,18,1,18,2,0,0
Monterey,4/3/2020,58,2,16,18,3,1
Napa,4/3/2020,13,1,1,9,0,1
Nevada,4/3/2020,19,1,2,4,2,1
Orange,4/3/2020,713,13,131,182,66,36
Placer,4/3/2020,76,2,21,23,10,1
Plumas,4/3/2020,2,0,0,0,0,0
Riverside,4/3/2020,540,14,105,182,44,59
Sacramento,4/3/2020,363,11,77,76,28,17
San Benito,4/3/2020,22,1,2,0,2,0
San Bernardino,4/3/2020,356,11,118,204,44,53
San Diego,4/3/2020,1114,17,171,308,84,28
San Francisco,4/3/2020,506,6,80,71,39,8
San Joaquin,4/3/2020,162,10,41,38,18,8
San Luis Obispo,4/3/2020,82,0,4,5,3,2
San Mateo,4/3/2020,474,13,65,39,26,4
Santa Barbara,4/3/2020,154,1,27,29,18,4
Santa Clara,4/3/2020,983,39,164,83,71,17
Santa Cruz,4/3/2020,52,1,4,8,3,0
Shasta,4/3/2020,10,1,2,9,1,3
Sierra,4/3/2020,0,0,,,,
Siskiyou,4/3/2020,3,0,0,3,0,1
Solano,4/3/2020,72,1,16,21,7,5
Sonoma,4/3/2020,84,1,6,24,2,3
Stanislaus,4/3/2020,48,0,28,45,12,8
Sutter,4/3/2020,12,1,0,0,,
Tehama,4/3/2020,1,0,0,0,0,0
Trinity,4/3/2020,0,0,0,0,0,0
Tulare,4/3/2020,73,3,6,15,5,2
Tuolumne,4/3/2020,1,0,0,0,0,0
Unassigned,4/3/2020,54,1,,,,
Ventura,4/3/2020,186,6,22,116,6,28
Yolo,4/3/2020,33,1,2,7,3,6
Yuba,4/3/2020,6,0,2,12,2,2
Alameda,4/4/2020,468,12,60,95,35,18
Alpine,4/4/2020,1,0,,,,
Amador,4/4/2020,2,0,0,0,0,0
Butte,4/4/2020,10,0,3,14,1,4
Calaveras,4/4/2020,3,0,0,1,0,0
Colusa,4/4/2020,1,0,1,0,1,0
Contra Costa,4/4/2020,382,5,30,47,12,7
Del Norte,4/4/2020,1,0,0,2,0,0
El Dorado,4/4/2020,19,0,15,9,0,3
Fresno,4/4/2020,102,1,14,93,7,20
Glenn,4/4/2020,2,0,0,0,0,0
Humboldt,4/4/2020,29,0,1,4,0,0
Imperial,4/4/2020,42,1,9,10,5,2
Inyo,4/4/2020,10,0,8,106,1,1
Kern,4/4/2020,103,2,33,54,14,11
Kings,4/4/2020,3,0,1,9,1,0
Lake,4/4/2020,0,0,0,4,0,1
Lassen,4/4/2020,0,0,0,0,0,0
Los Angeles,4/4/2020,5275,117,1007,1190,449,181
Madera,4/4/2020,27,2,0,4,0,0
Marin,4/4/2020,111,6,5,16,3,5
Mariposa,4/4/2020,0,0,0,2,0,0
Mendocino,4/4/2020,4,0,0,3,0,1
Merced,4/4/2020,11,0,5,14,1,1
Modoc,4/4/2020,0,0,0,0,0,0
Mono,4/4/2020,18,1,20,2,0,0
Monterey,4/4/2020,61,2,16,25,4,2
Napa,4/4/2020,15,2,1,8,0,1
Nevada,4/4/2020,19,1,2,6,2,2
Orange,4/4/2020,781,15,143,213,70,45
Placer,4/4/2020,87,2,23,14,10,1
Plumas,4/4/2020,2,0,0,0,0,0
Riverside,4/4/2020,652,15,126,186,39,56
Sacramento,4/4/2020,393,11,69,76,25,18
San Benito,4/4/2020,22,1,2,3,2,0
San Bernardino,4/4/2020,373,13,138,254,51,66
San Diego,4/4/2020,1211,18,177,218,86,19
San Francisco,4/4/2020,537,6,80,65,37,7
San Joaquin,4/4/2020,171,10,43,30,16,7
San Luis Obispo,4/4/2020,82,0,4,6,3,3
San Mateo,4/4/2020,520,17,66,19,25,6
Santa Barbara,4/4/2020,167,1,28,34,18,2
Santa Clara,4/4/2020,1045,39,159,79,72,19
Santa Cruz,4/4/2020,56,1,4,6,3,0
Shasta,4/4/2020,11,2,2,10,4,0
Sierra,4/4/2020,0,0,,,,
Siskiyou,4/4/2020,3,0,0,2,0,1
Solano,4/4/2020,79,1,16,19,7,2
Sonoma,4/4/2020,88,1,7,16,2,6
Stanislaus,4/4/2020,51,0,30,45,12,9
Sutter,4/4/2020,14,1,0,0,,
Tehama,4/4/2020,1,0,0,1,0,0
Trinity,4/4/2020,0,0,0,0,0,0
Tulare,4/4/2020,79,4,8,20,5,1
Tuolumne,4/4/2020,1,0,0,1,0,1
Unassigned,4/4/2020,52,1,,,,
Ventura,4/4/2020,194,6,21,127,7,25
Yolo,4/4/2020,40,2,4,5,3,3
Yuba,4/4/2020,7,0,2,16,2,2
Alameda,4/5/2020,475,12,72,87,39,13
Alpine,4/5/2020,1,0,,,,
Amador,4/5/2020,2,0,0,0,0,0
Butte,4/5/2020,10,0,2,16,1,6
Calaveras,4/5/2020,3,0,0,0,0,0
Colusa,4/5/2020,1,0,1,0,1,0
Contra Costa,4/5/2020,415,6,29,35,15,10
Del Norte,4/5/2020,1,0,0,1,0,0
El Dorado,4/5/2020,19,0,16,6,0,3
Fresno,4/5/2020,102,1,16,81,8,15
Glenn,4/5/2020,2,0,0,0,0,0
Humboldt,4/5/2020,29,0,2,3,0,0
Imperial,4/5/2020,42,1,9,9,8,1
Inyo,4/5/2020,10,0,9,106,1,0
Kern,4/5/2020,109,2,23,27,12,4
Kings,4/5/2020,4,0,3,1,2,0
Lake,4/5/2020,0,0,0,4,0,2
Lassen,4/5/2020,0,0,0,0,0,0
Los Angeles,4/5/2020,5892,130,1094,1082,473,166
Madera,4/5/2020,27,2,0,1,0,0
Marin,4/5/2020,113,6,5,15,3,5
Mariposa,4/5/2020,0,0,0,2,0,0
Mendocino,4/5/2020,4,0,0,3,0,2
Merced,4/5/2020,16,0,15,10,1,3
Modoc,4/5/2020,0,0,0,0,0,0
Mono,4/5/2020,18,1,20,2,0,0
Monterey,4/5/2020,61,2,16,15,4,0
Napa,4/5/2020,15,2,1,8,0,1
Nevada,4/5/2020,19,1,2,4,2,1
Orange,4/5/2020,820,15,144,221,70,46
Placer,4/5/2020,86,3,23,13,10,1
Plumas,4/5/2020,2,0,0,0,0,0
Riverside,4/5/2020,669,17,129,207,47,60
Sacramento,4/5/2020,393,11,64,78,23,26
San Benito,4/5/2020,22,1,3,0,2,0
San Bernardino,4/5/2020,375,13,146,240,59,54
San Diego,4/5/2020,1328,19,179,220,89,31
San Francisco,4/5/2020,559,6,79,68,37,11
San Joaquin,4/5/2020,179,10,46,24,17,4
San Luis Obispo,4/5/2020,83,1,2,11,2,9
San Mateo,4/5/2020,528,19,69,15,24,6
Santa Barbara,4/5/2020,171,1,31,26,18,2
Santa Clara,4/5/2020,1052,42,166,69,68,18
Santa Cruz,4/5/2020,59,1,5,12,4,4
Shasta,4/5/2020,11,2,8,11,4,0
Sierra,4/5/2020,0,0,,,,
Siskiyou,4/5/2020,3,0,0,2,0,2
Solano,4/5/2020,78,1,15,17,6,24
Sonoma,4/5/2020,88,1,6,21,2,6
Stanislaus,4/5/2020,51,0,30,25,14,5
Sutter,4/5/2020,14,1,0,0,0,0
Tehama,4/5/2020,1,0,0,1,0,0
Trinity,4/5/2020,0,0,0,0,0,0
Tulare,4/5/2020,81,4,4,20,8,2
Tuolumne,4/5/2020,1,0,0,0,0,0
Unassigned,4/5/2020,52,1,,,,
Ventura,4/5/2020,196,6,21,128,7,28
Yolo,4/5/2020,37,2,3,6,3,3
Yuba,4/5/2020,7,0,1,14,1,1
Alameda,4/6/2020,527,13,79,70,43,19
Alpine,4/6/2020,1,0,,,,
